name,genre,developer,classification
God of War I,Action,Santa Monica Studio,M
Devil May Cry 5,Action,Capcom,M
Hades,Action,Supergiant Games,T
God of War II,Action,Santa Monica Studio,M
The Legend of Zelda: Breath of the Wild,Adventure,Nintendo EPD,E10+
Uncharted 4: A Thief's End,Adventure,Naughty Dog,T
Life Is Strange,Adventure,Dontnod Entertainment,M
The Witcher 3: Wild Hunt,RPG,CD Projekt Red,M
Elden Ring,RPG,FromSoftware,M
The Elder Scrolls V: Skyrim,RPG,Bethesda Game Studios,M
DOOM Eternal,Shooter,id Software,M
God of War III,Action,Santa Monica Studio,M
Overwatch,Shooter,Blizzard Entertainment,T
Halo Infinite,Shooter,343 Industries,T
The Sims 4,Simulation,Maxis,T
Microsoft Flight Simulator,Simulation,Asobo Studio,E
Animal Crossing: New Horizons,Simulation,Nintendo EPD,E
